Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/computer_vision/experimentation/predict', 'name': 'GX010077', 'stream': True, 'save': True, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 1/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 110.3ms
video 1/1 (frame 2/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 3/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 4/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.8ms
video 1/1 (frame 5/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 6/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 7/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 8/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 9/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 10/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 11/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 12/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 13/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 14/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 15/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 16/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 17/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 18/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 19/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 20/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 21/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 22/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 23/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 24/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 25/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 26/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
