Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/src/computer_vision/experimentation/predict', 'name': 'GX010126', 'stream': True, 'save': False, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 1/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 149.3ms
video 1/1 (frame 2/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.8ms
video 1/1 (frame 3/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.2ms
video 1/1 (frame 4/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.8ms
video 1/1 (frame 5/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.7ms
video 1/1 (frame 6/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 18.8ms
video 1/1 (frame 7/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.2ms
video 1/1 (frame 8/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 9/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.9ms
video 1/1 (frame 10/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 17.3ms
video 1/1 (frame 11/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.3ms
video 1/1 (frame 12/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 13/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 21.5ms
video 1/1 (frame 14/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 15/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 16/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 17/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 18/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 19/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 20/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 21/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 22/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 23/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 24/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 25/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 21.4ms
video 1/1 (frame 26/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 17.6ms
video 1/1 (frame 27/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 13.4ms
video 1/1 (frame 28/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 29/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 30/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 12.0ms
video 1/1 (frame 31/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.0ms
video 1/1 (frame 32/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.8ms
video 1/1 (frame 33/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.3ms
video 1/1 (frame 34/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.8ms
video 1/1 (frame 35/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 36/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 37/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 38/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 59.4ms
video 1/1 (frame 39/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 18.9ms
video 1/1 (frame 40/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.0ms
video 1/1 (frame 41/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.1ms
video 1/1 (frame 42/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.8ms
video 1/1 (frame 43/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 44/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 22.4ms
